273|862|NEWCASTLE WATERS|NT
274|862|NICHOLSON|NT
275|862|PAMAYU|NT
276|862|PHILLIP CREEK STATION|NT
277|862|RENNER SPRINGS|NT
278|862|TABLELANDS|NT
279|862|TENNANT CREEK|NT
280|862|THREE WAYS|NT
281|862|WARREGO|NT
282|862|WOLLOGORANG STATION|NT
283|862|WYCLIFFE WELL|NT
284|870|ALICE SPRINGS|NT
285|870|ARALUEN|NT
286|870|ARUMBERA|NT
287|870|BRAITLING|NT
288|870|CICCONE|NT
289|870|CONNELLAN|NT
290|870|DESERT SPRINGS|NT
291|870|EAST SIDE|NT
292|870|FLYNN|NT
293|870|GILLEN|NT
294|870|ILPARPA|NT
295|870|IRLPME|NT
296|870|LARAPINTA|NT
297|870|MOUNT JOHNS|NT
298|870|ROSS|NT
299|870|SADADEEN|NT
300|870|STUART|NT
301|870|THE GAP|NT
302|870|UNDOOLYA|NT
303|870|WHITE GUMS|NT
304|871|ALICE SPRINGS|NT
305|872|AHERRENGE|NT
306|872|ALI CURUNG|NT
307|872|ALICE SPRINGS|NT
308|872|AMATA|NT
309|872|AMOONGUNA|NT
310|872|AMPILATWATJA|NT
311|872|ANATYE|NT
312|872|ANMATJERE|NT
313|872|ANTEWENEGERRDE|NT
314|872|AREYONGA|NT
315|872|ATITJERE|NT
316|872|AYERS ROCK|NT
317|872|BARROW CREEK|NT
318|872|BURT PLAIN|NT
319|872|CANTEEN CREEK|NT
320|872|CHILLA WELL|NT
321|872|COSTELLO|NT
322|872|DAVENPORT|NT
323|872|DOCKER RIVER|NT
324|872|ENGAWALA|NT
325|872|ERLDUNDA|NT
326|872|ERNABELLA|SA
327|872|FINKE|NT
328|872|FREGON|SA
329|872|GHAN|NT
330|872|GIBSON DESERT NORTH|WA
331|872|GIBSON DESERT SOUTH|WA
332|872|HAASTS BLUFF|NT
333|872|HALE|NT
334|872|HART|NT
335|872|HART RANGE|NT
336|872|HERMANNSBURG|NT
337|872|HUGH|NT
338|872|IMANPA|NT
339|872|INDULKANA|SA
340|872|JAY CREEK|NT
341|872|KALTUKATJARA|NT
342|872|KINTORE|NT
343|872|KIWIRRKURRA|NT
344|872|KULGERA|NT
345|872|KUNPARRKA|NT
346|872|LAKE MACKAY|NT
347|872|LARAMBA|NT
348|872|MEREENIE|NT
349|872|MIMILI|SA
350|872|MOUNT LIEBIG|NT
351|872|MOUNT ZEIL|NT
352|872|MULGA BORE|NT
353|872|MURPUTJA HOMELANDS|NT
354|872|MUTITJULU|NT
355|872|NAMATJIRA|NT
356|872|NGAANYATJARRA-GILES|WA
357|872|NYAPARI|NT
358|872|NYIRRIPI|NT
359|872|PAPUNYA|NT
360|872|PATJARR|NT
361|872|PETERMANN|NT
362|872|PITJANTJATJARA HOMELANDS|NT
363|872|SANDOVER|NT
364|872|SANTA TERESA|NT
365|872|SIMPSON|NT
366|872|TANAMI|NT
367|872|TARA|NT
368|872|THANGKENHARENGE|NT
369|872|TI TREE|NT
370|872|TITJIKALA|NT
371|872|TJIRRKARLI|NT
372|872|TJUKURLA|NT
373|872|ULURU|NT
374|872|UMPANGARA|NT
375|872|URAPUNTJA|NT
376|872|WALLACE ROCKHOLE|NT
377|872|WANARN|NT
378|872|WILLOWRA|NT
379|872|WILORA|NT
380|872|WINGELLINA|NT
381|872|WUTUNUGURRA|NT
382|872|YUELAMU|NT
383|872|YUENDUMU|NT
384|872|YULARA|NT
385|880|GAPUWIYAK|NT
386|880|GOVE|NT
387|880|GUNYANGARA|NT
388|880|NHULUNBUY|NT
389|880|YIRRKALA|NT
390|881|NHULUNBUY|NT
391|885|ALYANGULA|NT
392|886|JABIRU|NT
393|906|WINNELLIE|NT
394|907|WINNELLIE|NT
395|909|CHARLES DARWIN UNIVERSITY|NT
396|1001|SYDNEY|NSW
397|1002|SYDNEY|NSW
398|1003|SYDNEY|NSW
399|1004|SYDNEY|NSW
400|1005|SYDNEY|NSW
401|1006|SYDNEY|NSW
402|1007|SYDNEY|NSW
403|1008|SYDNEY|NSW
404|1009|SYDNEY|NSW
405|1010|SYDNEY|NSW
406|1011|SYDNEY|NSW
407|1020|SYDNEY|NSW
408|1021|SYDNEY|NSW
409|1022|SYDNEY|NSW
410|1023|SYDNEY|NSW
411|1025|SYDNEY|NSW
412|1026|SYDNEY|NSW
413|1027|SYDNEY|NSW
414|1028|SYDNEY|NSW
415|1029|SYDNEY|NSW
416|1030|SYDNEY|NSW
417|1031|SYDNEY|NSW
418|1032|SYDNEY|NSW
419|1033|SYDNEY|NSW
420|1034|SYDNEY|NSW
421|1035|SYDNEY|NSW
422|1036|SYDNEY|NSW
423|1037|SYDNEY|NSW
424|1038|SYDNEY|NSW
425|1039|SYDNEY|NSW
426|1040|SYDNEY|NSW
427|1041|SYDNEY|NSW
428|1042|SYDNEY|NSW
429|1043|SYDNEY|NSW
430|1044|SYDNEY|NSW
431|1045|SYDNEY|NSW
432|1046|SYDNEY|NSW
433|1100|SYDNEY|NSW
434|1101|SYDNEY|NSW
435|1105|SYDNEY|NSW
436|1106|SYDNEY|NSW
437|1107|SYDNEY|NSW
438|1108|SYDNEY|NSW
439|1109|SYDNEY|NSW
440|1110|SYDNEY|NSW
441|1112|SYDNEY|NSW
442|1113|SYDNEY|NSW
443|1114|SYDNEY|NSW
444|1115|SYDNEY|NSW
445|1116|SYDNEY|NSW
